split,model,rec_auc_mean,rec_auc_sd,par_auc_mean,par_auc_sd,par_f1_mean,rec_f1_mean
participant,audio_gbm,0.7455,0.0009,0.8718,0.0018,0.6776,0.5942
participant,audio_knn,0.6977,0.0025,0.8394,0.0027,0.595,0.5387
participant,fusion,0.8132,0.0006,0.9455,0.0014,0.8079,0.6679
participant,text,0.7289,0.0017,0.9304,0.0008,0.8205,0.5891
recording_random,audio_gbm,0.7724,0.0011,0.9076,0.0019,0.7204,0.6193
recording_random,audio_knn,0.7716,0.0009,0.9271,0.0004,0.7021,0.6087
recording_random,fusion,0.8299,0.0004,0.9583,0.0009,0.835,0.6879
recording_random,speaker_prior,1.0,0.0,1.0,0.0,1.0,1.0
recording_random,text,0.7259,0.0007,0.9314,0.0009,0.8205,0.6006
