attribution,dt,weekday,off_n,off_n_multiple,robust_z,off_ratio,off_ratio_drop,mode_hour,mode_share
startdate,2025-06-24,1,706,1.74,7.52,0.277,0.146,14,0.516
startdate,2025-07-17,3,818,2.02,10.32,0.271,0.152,14,0.504
startdate,2025-08-06,2,782,1.93,9.42,0.279,0.144,14,0.493
startdate,2025-08-28,3,814,2.01,10.22,0.293,0.13,14,0.502
midnight,2025-07-17,3,835,1.3,3.37,0.268,0.05,14,0.504
midnight,2025-08-06,2,815,1.27,3.03,0.27,0.048,14,0.493
midnight,2025-08-28,3,840,1.31,3.46,0.287,0.031,14,0.502
