rule,share_all_turns,share_nonempty,precision,recall
self_judged,0.005190826702974089,0.0018929741536221332,1.0,0.013118984891660843
empty,0.5617048887376079,0.0,0.5504951995000663,0.7814936286897145
short_other_fallback,0.06908692507339488,0.1576265016381507,0.4049268668206313,0.07070272595300822
lower,0.005190826702974089,0.0018929741536221332,1.0,0.013118984891660843
upper,0.6309939156703399,0.15808761072685354,0.5347010333608672,0.8527071347921932
truth_misfire,0.3956728928221929,0.19725761436718844,,
