topic,n,stale_rate,fresh_rate,fresh_recall,fresh_precision,next_complaint_rate,next_complaint_recall,next_complaint_precision,retry_rate,retry_recall,retry_precision
전체,41205,0.04734862273995874,0.08489261012013105,0.6294208098411072,0.3510577472841624,0.0017473607571896616,0.03485392106611994,0.9444444444444444,0.016624196092707197,0.016401845207585853,0.04671532846715328
날씨·대기질,297,0.18181818181818182,0.24915824915824916,1.0,0.7297297297297297,0.010101010101010102,0.05555555555555555,1.0,0.030303030303030304,0.05555555555555555,0.3333333333333333
시세·지표,54,0.7037037037037037,0.7222222222222222,0.7368421052631579,0.717948717948718,0.018518518518518517,0.02631578947368421,1.0,0.018518518518518517,0.02631578947368421,1.0
스포츠,233,0.04721030042918455,0.0944206008583691,1.0,0.5,0.004291845493562232,0.09090909090909091,1.0,0.008583690987124463,0.0,0.0
뉴스·시사,59,0.4406779661016949,0.559322033898305,1.0,0.7878787878787878,0.01694915254237288,0.038461538461538464,1.0,0.03389830508474576,0.0,0.0
트렌드·화제,53,0.24528301886792453,0.32075471698113206,1.0,0.7647058823529411,0.018867924528301886,0.07692307692307693,1.0,0.03773584905660377,0.0,0.0
미매칭,40509,0.044656742946012,0.08178429484805845,0.6058595909342178,0.3308179897373981,0.0016045816978942952,0.033720287451630734,0.9384615384615385,0.01651484855217359,0.015478164731896076,0.04185351270553064
